Date,Open,High,Low,Close,Volume
1995-01-03,459.2099915,459.269989,457.2000122,459.1099854,262450000
1995-01-04,459.1300049,460.7200012,457.5599976,460.7099915,319510000
1995-01-05,460.730011,461.2999878,459.75,460.3399963,309050000
1995-01-06,460.3800049,462.4899902,459.4700012,460.6799927,308070000
1995-01-09,460.6700134,461.769989,459.7399902,460.8299866,278790000
1995-01-10,460.8999939,464.5899963,460.8999939,461.6799927,352450000
1995-01-11,461.6799927,463.6099854,458.6499939,461.6600037,346310000
1995-01-12,461.6400146,461.9299927,460.6300049,461.6400146,313040000
1995-01-13,461.6400146,466.4299927,461.6400146,465.9700012,336740000
1995-01-16,465.9700012,470.3900146,465.9700012,469.3800049,315810000
1995-01-17,469.3800049,470.1499939,468.1900024,470.0499878,331520000
1995-01-18,470.0499878,470.4299927,468.0299988,469.7099915,344660000
1995-01-19,469.7200012,469.7200012,466.3999939,466.9500122,297220000
1995-01-20,466.9500122,466.9899902,463.9899902,464.7799988,378190000
1995-01-23,464.7799988,466.230011,461.1400146,465.8200073,325830000
1995-01-24,465.8099976,466.8800049,465.4700012,465.8599854,315430000
1995-01-25,465.8599854,469.5100098,464.3999939,467.4400024,342610000
1995-01-26,467.4400024,468.6199951,466.8999939,468.3200073,304730000
1995-01-27,468.3200073,471.3599854,468.3200073,470.3900146,339510000
1995-01-30,470.3900146,470.519989,467.4899902,468.5100098,318550000
1995-01-31,468.5100098,471.0299988,468.1799927,470.4200134,411590000
1995-02-01,470.4200134,472.75,469.2900085,470.3999939,395310000
1995-02-02,470.3999939,472.7900085,469.9500122,472.7900085,322110000
1995-02-03,472.7799988,479.9100037,472.7799988,478.6499939,441000000
1995-02-06,478.6400146,481.9500122,478.3599854,481.1400146,325660000
1995-02-07,481.1400146,481.3200073,479.6900024,480.8099976,314660000
1995-02-08,480.8099976,482.6000061,480.3999939,481.1900024,318430000
1995-02-09,481.1900024,482.0,479.9100037,480.1900024,325570000
1995-02-10,480.1900024,481.9599915,479.5299988,481.4599915,295600000
1995-02-13,481.4599915,482.8599854,481.0700073,481.6499939,256270000
1995-02-14,481.6499939,482.9400024,480.8900146,482.5499878,300720000
1995-02-15,482.5499878,485.5400085,481.769989,484.5400085,378040000
1995-02-16,484.5599976,485.2200012,483.0499878,485.2200012,360990000
1995-02-17,485.1499939,485.2200012,481.9700012,481.9700012,347970000
1995-02-21,481.9500122,483.2600098,481.9400024,482.7200012,308090000
1995-02-22,482.7399902,486.1499939,482.4500122,485.0700073,339460000
1995-02-23,485.0700073,489.1900024,485.0700073,486.9100037,394280000
1995-02-24,486.8200073,488.2799988,485.7000122,488.1099854,302930000
1995-02-27,488.2600098,488.2600098,483.1799927,483.8099976,285790000
1995-02-28,483.8099976,487.4400024,483.769989,487.3900146,317220000
1995-03-01,487.3900146,487.8299866,484.9200134,485.6499939,362600000
1995-03-02,485.6499939,485.7099915,483.1900024,485.1300049,330030000
1995-03-03,485.1300049,485.4200134,483.0700073,485.4200134,330840000
1995-03-06,485.4200134,485.7000122,481.519989,485.6300049,298870000
1995-03-07,485.6300049,485.6300049,479.7000122,482.1199951,355550000
1995-03-08,482.1199951,484.0799866,481.5700073,483.1400146,349780000
1995-03-09,483.1400146,483.7399902,482.0499878,483.1600037,319320000
1995-03-10,483.1600037,490.3699951,483.1600037,489.5700073,382940000
1995-03-13,489.5700073,491.2799988,489.3500061,490.0499878,275280000
1995-03-14,490.0499878,493.6900024,490.0499878,492.8900146,346160000
1995-03-15,492.8900146,492.8900146,490.8299866,491.8800049,309540000
1995-03-16,491.8699951,495.7399902,491.7799988,495.4100037,336670000
1995-03-17,495.4299927,496.6700134,494.9500122,495.519989,417380000
1995-03-20,495.519989,496.6099854,495.269989,496.1400146,301740000
1995-03-21,496.1499939,499.1900024,494.0400085,495.0700073,367110000
1995-03-22,495.0700073,495.6700134,493.6700134,495.6700134,313120000
1995-03-23,495.6700134,496.769989,494.1900024,495.9500122,318530000
1995-03-24,496.0700073,500.9700012,496.0700073,500.9700012,358370000
1995-03-27,500.9700012,503.2000122,500.9299927,503.2000122,296270000
1995-03-28,503.1900024,503.9100037,501.8299866,503.8999939,320360000
1995-03-29,503.9200134,508.1499939,500.9599915,503.1199951,385940000
1995-03-30,503.1700134,504.6600037,501.0,502.2200012,362940000
1995-03-31,501.9400024,502.2200012,495.7000122,500.7099915,353060000
1995-04-03,500.7000122,501.9100037,500.2000122,501.8500061,296430000
1995-04-04,501.8500061,505.2600098,501.8500061,505.2399902,330580000
1995-04-05,505.269989,505.5700073,503.1700134,505.5700073,315170000
1995-04-06,505.6300049,507.1000061,505.0,506.0799866,320460000
1995-04-07,506.1300049,507.1900024,503.5899963,506.4200134,314760000
1995-04-10,506.2999878,507.0100098,504.6099854,507.0100098,260980000
1995-04-11,507.2399902,508.8500061,505.2900085,505.5299988,310660000
1995-04-12,505.5899963,507.1700134,505.0700073,507.1700134,327880000
1995-04-13,507.1900024,509.8299866,507.1700134,509.230011,301580000
1995-04-17,509.230011,512.0300293,505.4299927,506.1300049,333930000
1995-04-18,506.4299927,507.6499939,504.1199951,505.3699951,344680000
1995-04-19,505.3699951,505.8900146,501.1900024,504.9200134,378050000
1995-04-20,504.9200134,506.5,503.4400024,505.2900085,368450000
1995-04-21,505.6300049,508.4899902,505.6300049,508.4899902,403250000
1995-04-24,508.4899902,513.0200195,507.4400024,512.8900146,326280000
1995-04-25,512.7999878,513.539978,511.3200073,512.0999756,351790000
1995-04-26,511.9899902,513.039978,510.4700012,512.6599731,350810000
1995-04-27,512.7000122,513.6199951,511.6300049,513.5499878,350850000
1995-04-28,513.6400146,515.289978,510.8999939,514.710022,320440000
1995-05-01,514.7600098,515.5999756,513.4199829,514.2600098,296830000
1995-05-02,514.2299805,515.1799927,513.0300293,514.8599854,302560000
1995-05-03,514.9299927,520.539978,514.8599854,520.4799805,392370000
1995-05-04,520.4799805,525.4000244,519.4400024,520.539978,434990000
1995-05-05,520.75,522.3499756,518.2800293,520.1199951,342380000
1995-05-08,520.0900269,525.1500244,519.1400146,523.960022,291810000
1995-05-09,523.960022,525.9899902,521.789978,523.5599976,361300000
1995-05-10,523.7399902,524.4000244,521.5300293,524.3599854,381990000
1995-05-11,524.3300171,524.8900146,522.7000122,524.3699951,339900000
1995-05-12,524.3699951,527.0499878,523.2999878,525.5499878,361000000
1995-05-15,525.5499878,527.7399902,525.0,527.7399902,316240000
1995-05-16,527.7399902,529.0800171,526.4500122,528.1900024,366180000
1995-05-17,528.1900024,528.4199829,525.3800049,527.0700073,347930000
1995-05-18,526.8800049,526.8800049,519.5800171,519.5800171,351900000
1995-05-19,519.5800171,519.5800171,517.0700073,519.1900024,354010000
1995-05-22,519.1900024,524.3400269,519.1900024,523.6500244,285600000
1995-05-23,523.6500244,528.5900269,523.6500244,528.5900269,362690000
1995-05-24,528.5900269,531.9099731,525.5700073,528.6099854,391770000
1995-05-25,528.3699951,529.039978,524.8900146,528.5900269,341820000
1995-05-26,528.5900269,528.5900269,522.5100098,523.6500244,291220000
1995-05-30,523.6500244,525.5800171,521.3800049,523.5800171,283020000
1995-05-31,523.7000122,533.4099731,522.1699829,533.4000244,358180000
1995-06-01,533.4000244,534.210022,530.0499878,533.4899902,345920000
1995-06-02,533.4899902,536.9099731,529.5499878,532.5100098,366000000
1995-06-05,532.5100098,537.7299805,532.4699707,535.5999756,337520000
1995-06-06,535.5999756,537.0900269,535.1400146,535.5499878,340490000
1995-06-07,535.5499878,535.5499878,531.6599731,533.1300049,327790000
1995-06-08,533.1300049,533.5599976,531.6500244,532.3499756,289880000
1995-06-09,532.3499756,532.3499756,526.0,527.9400024,327570000
1995-06-12,527.9400024,532.539978,527.9400024,530.8800049,289920000
1995-06-13,530.8800049,536.2299805,530.8800049,536.0499878,339660000
1995-06-14,536.0499878,536.4799805,533.8300171,536.4699707,330770000
1995-06-15,536.4799805,539.0700073,535.5599976,537.1199951,334700000
1995-06-16,537.5100098,539.9799805,537.1199951,539.8300171,442740000
1995-06-19,539.8300171,545.2199707,539.8300171,545.2199707,322990000
1995-06-20,545.2199707,545.4400024,543.4299927,544.9799805,382370000
1995-06-21,544.9799805,545.9299927,543.9000244,543.9799805,398210000
1995-06-22,543.9799805,551.0700073,543.9799805,551.0700073,421000000
1995-06-23,551.0700073,551.0700073,548.2299805,549.710022,321660000
1995-06-26,549.710022,549.789978,544.0599976,544.1300049,296720000
1995-06-27,544.1099854,547.0700073,542.1900024,542.4299927,346950000
1995-06-28,542.4299927,546.3300171,540.7199707,544.7299805,368060000
1995-06-29,544.7299805,546.25,540.789978,543.8699951,313080000
1995-06-30,543.8699951,546.8200073,543.5100098,544.75,311650000
1995-07-03,544.75,547.0999756,544.4299927,547.0900269,117900000
1995-07-05,547.0900269,549.9799805,546.2800293,547.2600098,357850000
1995-07-06,547.2600098,553.9899902,546.5900269,553.9899902,420500000
1995-07-07,553.9000244,556.5700073,553.0499878,556.3699951,466540000
1995-07-10,556.3699951,558.4799805,555.7700195,557.1900024,409700000
1995-07-11,556.7800293,557.1900024,553.7999878,554.7800293,376770000
1995-07-12,555.2700195,561.5599976,554.2700195,560.8900146,416360000
1995-07-13,560.8900146,562.0,559.0700073,561.0,387500000
1995-07-14,561.0,561.0,556.4099731,559.8900146,312930000
1995-07-17,560.3400269,562.9400024,559.4500122,562.7199707,322540000
1995-07-18,562.5499878,562.7199707,556.8599854,558.460022,372230000
1995-07-19,556.5800171,558.460022,542.5100098,550.9799805,489850000
1995-07-20,550.9799805,554.4299927,549.0999756,553.539978,383380000
1995-07-21,553.3400269,554.7299805,550.9099731,553.6199951,431830000
1995-07-24,553.6199951,557.210022,553.6199951,556.6300049,315300000
1995-07-25,556.6300049,561.75,556.3400269,561.0999756,373200000
1995-07-26,561.0999756,563.7800293,560.8499756,561.6099854,393470000
1995-07-27,561.6099854,565.3300171,561.6099854,565.2199707,356570000
1995-07-28,565.2199707,565.4000244,562.039978,562.9299927,311590000
1995-07-31,562.9299927,563.4899902,560.0599976,562.0599976,291950000
1995-08-01,562.0599976,562.1099854,556.6699829,559.6400146,332210000
1995-08-02,559.6400146,565.6199951,557.8699951,558.7999878,374330000
1995-08-03,558.7999878,558.7999878,554.0999756,558.75,353110000
1995-08-04,558.75,559.5700073,557.9099731,558.9400024,314740000
1995-08-07,558.9400024,561.2399902,558.9400024,560.0300293,277050000
1995-08-08,560.0300293,561.5300293,558.3200073,560.3900146,306090000
1995-08-09,560.3900146,561.5900269,559.289978,559.710022,303390000
1995-08-10,559.710022,560.6300049,556.0499878,557.4500122,306660000
1995-08-11,557.4500122,558.5,553.039978,555.1099854,267850000
1995-08-14,555.1099854,559.7399902,554.7600098,559.7399902,264920000
1995-08-15,559.7399902,559.9799805,555.2199707,558.5700073,330070000
1995-08-16,558.5700073,559.9799805,557.3699951,559.9699707,390170000
1995-08-17,559.9699707,559.9699707,557.4199829,559.039978,354460000
1995-08-18,559.039978,561.2399902,558.3400269,559.210022,320490000
1995-08-21,559.210022,563.3400269,557.8900146,558.1099854,303200000
1995-08-22,558.1099854,559.5200195,555.8699951,559.5200195,290890000
1995-08-23,559.5200195,560.0,557.0800171,557.1400146,291890000
1995-08-24,557.1400146,558.6300049,555.2000122,557.460022,299200000
1995-08-25,557.460022,561.3099976,557.460022,560.0999756,255990000
1995-08-28,560.0999756,562.2199707,557.9899902,559.0499878,267860000
1995-08-29,559.0499878,560.0100098,555.710022,560.0,311290000
1995-08-30,560.0,561.5200195,559.4899902,560.9199829,329840000
1995-08-31,561.0900269,562.3599854,560.4899902,561.8800049,300920000
1995-09-01,561.8800049,564.6199951,561.0100098,563.8400269,256730000
1995-09-05,563.8599854,569.2000122,563.8400269,569.1699829,332670000
1995-09-06,569.1699829,570.5300293,569.0,570.1699829,369540000
1995-09-07,570.1699829,571.1099854,569.2299805,570.289978,321720000
1995-09-08,570.289978,572.6799927,569.2700195,572.6799927,317940000
1995-09-11,572.6799927,575.1500244,572.6799927,573.9099731,296840000
1995-09-12,573.9099731,576.5100098,573.1099854,576.5100098,344540000
1995-09-13,576.5100098,579.7199707,575.4699707,578.7700195,384380000
1995-09-14,578.7700195,583.9899902,578.7700195,583.6099854,382880000
1995-09-15,583.6099854,585.0700073,581.789978,583.3499756,459370000
1995-09-18,583.3499756,583.3699951,579.3599854,582.7700195,326090000
1995-09-19,582.7800293,584.2399902,580.75,584.2000122,371170000
1995-09-20,584.2000122,586.7700195,584.1799927,586.7700195,400050000
1995-09-21,586.7700195,586.789978,580.9099731,583.0,367100000
1995-09-22,583.0,583.0,578.25,581.7299805,370790000
1995-09-25,581.7299805,582.1400146,579.5,581.8099976,273120000
1995-09-26,581.8099976,584.6599731,580.6500244,581.4099731,363630000
1995-09-27,581.4099731,581.4199829,574.6799927,581.039978,411300000
1995-09-28,581.039978,585.8800049,580.6900024,585.8699951,367720000
1995-09-29,585.8699951,587.6099854,584.0,584.4099731,335250000
1995-10-02,584.4099731,585.0499878,580.539978,581.7199707,304990000
1995-10-03,581.7199707,582.3400269,578.4799805,582.3400269,385940000
1995-10-04,582.3400269,582.3400269,579.9099731,581.4699707,339380000
1995-10-05,581.4699707,582.6300049,579.5800171,582.6300049,367480000
1995-10-06,582.6300049,584.539978,582.0999756,582.4899902,313680000
1995-10-09,582.4899902,582.4899902,576.3499756,578.3699951,275320000
1995-10-10,578.3699951,578.3699951,571.5499878,577.5200195,412710000
1995-10-11,577.5200195,579.5200195,577.0800171,579.460022,340740000
